aX,aY,aZ,gX,gY,gZ
 1.00, 1.00, 1.00,-14.00,-38.00,10.00
 1.00, 1.00, 1.00,13.00,-17.00,15.00
 1.00, 1.00, 1.00,16.00,-18.00,18.00
 1.00, 1.00, 1.00,-3.00,-43.00, 3.00
-69.60,390.40,-3218.80,15.00,-30.00,32.00
-115.76,629.44,-5143.68,27.00,-43.00,20.00
-144.66,779.66,-6309.41,24.00,-46.00,-8.00
-153.59,862.60,-6997.24,16.00,-63.00,31.00
-162.56,909.56,-7417.55,19.00,-38.00,-4.00
-176.23,934.94,-7666.13, 5.00,-45.00,-1.00
-177.08,949.36,-7809.28,-19.00,-31.00,-19.00
-177.13,961.62,-7906.37,10.00,-19.00,-11.00
-178.54,971.22,-7963.02,22.00,-30.00,-8.00
-178.65,971.37,-7993.01,29.00,-41.00,15.00
-178.82,975.13,-8010.61,24.00,-40.00,15.00
-178.82,976.28,-8023.96, 8.00,-68.00, 4.00
-178.82,981.15,-8026.63,40.00,-47.00,-13.00
-178.54,981.15,-8026.63,29.00,-46.00, 9.00
-178.82,981.77,-8028.10,10.00,-24.00,-11.00
-178.82,983.45,-8028.10, 7.00, 7.00,-2.00
-178.82,983.92,-8029.40,13.00,-26.00,26.00
-177.65,984.66,-8029.40, 7.00,-32.00,15.00
-177.65,983.92,-8030.78,17.00,-49.00,17.00
-177.65,983.69,-8031.64,10.00,-44.00,-15.00
-178.91,983.45,-8031.64,24.00,-41.00,-26.00
-179.64,983.69,-8034.04,13.00,-49.00,12.00
-180.12,986.07,-8034.04,16.00,-35.00,-10.00
-179.64,986.07,-8034.04, 5.00,-22.00,-4.00
-179.64,984.79,-8034.43,21.00,-21.00, 2.00
-178.91,983.69,-8035.32,19.00,-27.00, 7.00
-178.91,981.81,-8035.32,18.00,-21.00,-19.00
-178.60,981.81,-8034.43,34.00,-63.00,18.00
-178.33,981.68,-8034.04,37.00,-33.00,-24.00
-178.33,981.68,-8033.74,20.00,-43.00, 9.00
-178.33,981.68,-8033.46,18.00,-50.00,-2.00
-178.33,981.68,-8033.74,14.00,-16.00,-25.00
-177.16,979.68,-8033.74,-7346.00,3551.00,-21.00
-176.89,981.68,-8033.27,3994.00,-1524.00,-74.00
-175.31,986.12,-8032.24,1154.00,161.00,-237.00
-175.31,986.12,-8027.45,325.00,113.00,15.00
-175.31,986.12,-7889.88,91.00,-51.00,-89.00
-135.08,986.12,-7889.88,48.00,-37.00,18.00
-75.73,979.67,-7889.88,26.00,-27.00,33.00
-48.25,958.63,-7889.88,10.00,-32.00,-44.00
12.25,844.56,-7889.88,-42.00,-51.00,34.00
44.55,842.84,-7957.53,-141.00,-79.00,-7.00
65.54,842.84,-7994.92,-295.00,-132.00,-4.00
65.54,842.84,-8018.15,-378.00,-151.00,-34.00
52.20,841.59,-8061.29,-311.00,-308.00,336.00
52.20,841.59,-8119.97,535.00,141.00,-1676.00
67.53,842.84,-8179.43,-389.00,658.00,-1553.00
71.66,844.56,-8179.43,-66.00,-55.00,-1668.00
75.72,860.10,-8179.43, 0.00,471.00,-453.00
79.43,900.46,-8179.43,-283.00,191.00,-195.00
324.38,1141.25,-8179.43,208.00,14.00,-349.00
324.38,1182.75,-7993.74,21.00,31.00,-343.00
324.38,1289.57,-7983.73,59.00,81.00,-232.00
324.38,1301.25,-7926.23,126.00,-198.00,-32.00
324.38,1348.94,-7914.48,115.00,-170.00,-69.00
232.23,1360.74,-7914.48,100.00,-96.00,23.00
-94.66,1360.74,-7914.48,-48.00, 1.00, 1.00
-94.66,1360.74,-7926.23,91.00,-91.00, 1.00
-94.66,1348.94,-7926.23,69.00,-85.00,-5.00
-94.66,1348.94,-7963.09,-6.00,-29.00,-7.00
-94.66,1198.05,-7984.63,27.00,-58.00, 9.00
-84.56,1119.23,-8015.05,16.00,-52.00,-11.00
-53.53,1059.54,-8015.98,-13.00,-25.00,17.00
-42.92,1012.92,-8032.07,-14.00,-38.00,-8.00
-42.92,990.95,-8036.91, 2.00,-3.00,-2.00
-42.92,970.17,-8036.91,11.00,-19.00,-5.00
-42.92,963.42,-8036.91,27.00,-5.00,-10.00
-42.92,961.70,-8038.55,14.00,-16.00,17.00
-43.36,941.65,-8038.55, 9.00,-38.00,-5.00
-64.42,929.79,-8039.64,-1.00,-62.00,17.00
-76.25,919.08,-8043.09,24.00,-30.00,17.00
-81.48,907.85,-8043.09,24.00,-28.00,-5.00
-82.55,907.85,-8045.79, 9.00,-24.00,12.00
-85.13,903.91,-8045.86,39.00,-65.00,11.00
-86.89,903.23,-8047.52,11.00,-41.00, 4.00
-89.73,902.05,-8047.52,24.00,-58.00,-13.00
-89.73,902.05,-8047.52, 5.00,-33.00,-13.00
-89.73,902.05,-8047.52,-3.00,-21.00, 6.00
-89.73,902.97,-8045.79,21.00,-27.00,37.00
-90.13,903.23,-8042.11,24.00,-21.00,-5.00
-90.88,908.18,-8040.60,14.00,-36.00,18.00
-91.17,908.18,-8039.78,29.00,-57.00,14.00
-91.17,908.39,-8039.78, 5.00,-47.00,-16.00
-88.94,908.80,-8039.67,26.00,-48.00, 1.00
-88.61,908.80,-8038.96,16.00,-35.00,14.00
-88.94,908.80,-8038.96,-13.00,-25.00, 9.00
-91.17,909.03,-8038.96,13.00,-7.00,10.00
-91.93,909.03,-8038.96,37.00,-21.00, 9.00
-91.93,909.92,-8038.96,45.00,-41.00,-77.00
-90.72,910.22,-8038.26,2447.00,-792.00,-2.00
-88.94,911.33,-8037.76,-937.00,177.00,-519.00
-87.36,915.15,-8035.61,130.00,-223.00,-137.00
-83.22,918.29,-8033.36,171.00,-176.00,102.00
296.44,1231.20,-7273.06,-229.00,88.00,1251.00
296.44,1231.20,-7273.06,-43.00,-13.00,644.00
296.44,1231.20,-7273.06,-255.00,213.00,-92.00
296.44,1231.20,-7273.06,-88.00,42.00,12.00
296.44,1231.20,-7273.06,-91.00, 3.00,-53.00
103.47,875.12,-7665.84,-95.00,-32.00,14.00
82.21,800.66,-7879.90,-103.00,-58.00,-56.00
82.21,800.66,-7933.94,-196.00,-96.00, 1.00
69.02,800.66,-8001.57,-263.00,-72.00,-456.00
67.69,767.10,-8040.14,-263.00, 3.00,-2091.00
61.49,743.17,-8040.14,-58.00,41.00,-568.00
67.69,767.10,-8068.08,18.00,42.00,-1083.00
69.02,800.66,-8068.08,-1.00,47.00,-472.00
82.21,821.20,-8068.08,178.00,-46.00,180.00
84.13,1017.12,-8068.08,133.00,-27.00,-148.00
84.13,1147.06,-8030.87,309.00,-161.00,-46.00
 0.08,1215.83,-7948.56,202.00,-223.00, 3.00
-94.35,1320.70,-7948.56,168.00,-178.00,23.00
-120.74,1320.70,-7948.56,130.00,-116.00,-25.00
-120.74,1320.70,-7968.74,91.00,-84.00,-16.00
-120.74,1215.83,-7968.74,19.00,-46.00, 1.00
-120.74,1215.83,-7968.74,-25.00,11.00, 9.00
-120.74,1151.86,-8007.64,-72.00, 3.00,23.00
-120.74,1021.12,-8036.59,-85.00,37.00,-26.00
-110.08,936.67,-8057.48,-96.00,29.00,48.00
-94.45,887.60,-8057.48,-53.00, 8.00,-3.00
-82.67,877.16,-8057.48,-26.00,-3.00,12.00
-68.40,877.16,-8057.48,16.00,-40.00, 0.00
-53.84,877.16,-8057.48,47.00,-65.00, 3.00
-31.10,877.16,-8040.89,70.00,-107.00, 7.00
-20.82,877.16,-8036.05,116.00,-126.00,26.00
-20.82,886.20,-8036.05,94.00,-93.00,-8.00
-20.82,886.20,-8036.05,61.00,-93.00, 0.00
-20.82,886.20,-8036.05,32.00,-59.00,-2.00
-20.82,886.20,-8036.05, 8.00,-41.00,12.00
-21.69,886.20,-8037.63,-8.00,-2.00,20.00
-24.61,882.12,-8042.58,-24.00,-10.00,17.00
-29.57,870.47,-8055.95,-26.00,-10.00, 4.00
-35.34,865.41,-8055.95,-22.00,-13.00, 9.00
-36.40,863.65,-8056.51,26.00,-50.00,-25.00
-37.40,863.65,-8056.51,13.00,-28.00,18.00
-37.67,862.51,-8056.51,18.00,-38.00,29.00
-41.44,862.51,-8056.51,22.00,-35.00,-8.00
-44.04,862.51,-8054.31,32.00,-29.00,31.00
-50.82,863.65,-8051.89,33.00,-43.00,-14.00
-61.68,865.41,-8051.89,16.00,-57.00,-3.00
-61.69,865.51,-8051.89,21.00,-46.00,22.00
-64.22,866.67,-8054.14, 7.00,-57.00,-21.00
-66.12,866.67,-8054.14,18.00,-46.00, 0.00
-66.13,865.51,-8053.33,22.00,-29.00,-22.00
-66.13,866.67,-8053.33, 8.00,-38.00,19.00
-66.21,866.67,-8053.33,13.00,-25.00,-2.00
-67.75,866.67,-8053.33,22.00,-38.00, 4.00
-68.87,862.91,-8053.33,19.00,-54.00,-6.00
-69.42,862.80,-8048.40, 5.00,-58.00,-6.00
-70.05,862.08,-8046.38,27.00,-46.00,-16.00
-70.43,861.75,-8043.87,-3.00,-24.00,-8.00
-70.43,861.75,-8043.87,17.00,-33.00, 9.00
-71.04,860.25,-8043.43,11.00,-24.00,14.00
-71.11,859.99,-8042.64,-2.00,-55.00, 0.00
-73.07,858.80,-8042.46,32.00,-17.00,17.00
-73.86,858.80,-8042.46,34.00,-49.00,25.00
-75.01,858.80,-8042.46,24.00,-44.00, 1.00
-75.01,859.76,-8043.87,27.00,-50.00,15.00
-75.01,859.76,-8045.79, 6.00,-50.00, 0.00
-75.69,859.76,-8045.79, 3.00,-33.00,12.00
-76.03,858.80,-8043.03, 6.00,-16.00,-8.00
-75.69,858.00,-8043.03,-13.00,-38.00,25.00
-75.01,855.45,-8045.79, 8.00,-32.00,-2.00
-74.05,855.45,-8045.79,22.00,-31.00,23.00
-73.77,855.45,-8043.03,26.00,-62.00,-16.00
-73.77,855.45,-8043.03,35.00,-44.00,-5.00
-73.77,855.45,-8043.03,23.00,-36.00,-9.00
-73.77,858.25,-8043.03,13.00,-42.00,14.00
-73.77,858.41,-8044.76,-3.00,-24.00,-11.00
-73.77,858.41,-8044.76,12.00,-36.00,18.00
-74.08,858.41,-8044.76,14.00,-19.00,17.00
-74.08,858.41,-8041.30,21.00,-32.00,-5.00
-74.08,858.25,-8041.30,27.00,-55.00,12.00
-74.08,857.45,-8043.12,16.00,-43.00, 9.00
-74.08,855.00,-8041.47,26.00,-69.00,-37.00
-74.45,853.67,-8041.28,16.00,-35.00, 6.00
-74.45,853.67,-8041.17, 2.00,-35.00, 0.00
-75.87,853.67,-8037.95,40.00,-40.00,31.00
-76.98,853.67,-8040.50,-3.00,-27.00, 3.00
-77.64,855.00,-8040.50,34.00,-13.00,-3.00
-78.19,853.50,-8040.50,-22996.00,-9686.00,3075.00
-78.19,853.50,-8040.50,-1907.00,179.00,-1995.00
-78.19,853.50,-8033.50,-833.00,317.00,877.00
-78.19,853.50,-8008.30,48.00,-376.00,725.00
-78.19,435.36,-6099.05,-44.00,-97.00,686.00
-52.17,-60.39,-6099.05, 3.00, 0.00,-92.00
-16.28,-60.39,-6099.05,-5.00,-19.00,231.00
87.50,-60.39,-6099.05,19.00,-35.00,-94.00
114.14,-60.39,-6099.05, 8.00,-49.00,133.00
114.90,284.97,-6910.63, 5.00,-36.00,-56.00
119.28,435.36,-7355.58,-10.00,-47.00,57.00
129.97,435.36,-7638.95,-98.00,-61.00,-100.00
131.59,284.97,-7814.17,37.00,53.00,163.00
132.96,493.78,-7915.70,-168.00,-82.00,-139.00
132.96,587.81,-7984.22,-237.00, 4.00,-919.00
132.96,587.81,-7984.22,503.00,64.00,-774.00
133.99,607.47,-7984.22,130.00,306.00,-860.00
133.99,681.28,-7984.22,-11.00,119.00,-675.00
338.57,718.69,-7984.22,70.00,-338.00,-179.00
338.57,718.69,-7947.25,197.00,-145.00,62.00
338.57,981.37,-7947.25,133.00,-194.00,12.00
137.70,1165.73,-7947.25,11.00,-46.00,-17.00
-40.58,1165.73,-7947.25, 8.00,-44.00,-38.00
-40.58,1165.73,-7947.25,19.00,-46.00, 8.00
-40.58,1165.73,-8004.35,13.00,-43.00, 7.00
-76.35,1165.73,-8050.21,15.00,-43.00, 2.00
-99.41,977.84,-8050.21,17.00,-42.00,-14.00
-108.45,864.70,-8050.21,10.00,-25.00,-17.00
-120.67,789.62,-8050.21,21.00, 4.00,11.00
-128.40,742.57,-8050.21, 8.00,-25.00,-5.00
-137.04,720.34,-8048.10,21.00,-35.00,46.00
-137.17,711.41,-8048.10, 7.00,-22.00,-14.00
-138.30,706.84,-8048.10,17.00,-24.00,-2.00
-139.25,698.51,-8048.10,14.00,-46.00,20.00
-140.58,698.19,-8048.10,27.00,-49.00,-2.00
-140.62,698.19,-8052.86,18.00,-60.00,11.00
-140.58,695.03,-8054.78,22.00,-55.00,-20.00
-140.58,695.03,-8057.24,11.00,-29.00,-27.00
-140.58,695.03,-8057.24,19.00,-14.00, 6.00
-140.47,695.82,-8057.24,10.00,-22.00,33.00
-139.25,696.69,-8057.24,20.00,-17.00,19.00
-139.25,696.69,-8054.78,26.00,-27.00, 0.00
-140.47,696.69,-8054.53,16.00,-60.00, 0.00
-139.21,695.82,-8053.12,21.00,-44.00,-11.00
-139.08,695.03,-8052.72,16.00,-66.00,12.00
-139.08,690.82,-8052.72,26.00,-43.00,-3.00
-139.08,690.35,-8052.72,22.00,-8.00,-20.00
-139.08,689.69,-8052.72,30.00,-47.00,-11.00
-139.08,687.97,-8053.12, 3.00,-14.00,12.00
-139.21,687.97,-8054.43,10.00,-29.00, 8.00
-139.21,687.70,-8055.20,13.00,-44.00,35.00
-139.21,687.70,-8055.20,16.00,-41.00,-21.00
-142.09,687.97,-8055.20,40.00,-85.00, 6.00
-143.65,687.97,-8057.28,-24.00,-27.00, 3.00
-143.65,687.97,-8057.28,-5.00,-35.00, 4.00
-144.93,688.22,-8057.28, 3.00,-14.00, 0.00
-145.76,689.17,-8055.20,10.00,-27.00,-3.00
-146.63,689.52,-8055.20,24.00,-30.00,-11.00
-147.56,689.17,-8055.20,16.00,-55.00,17.00
-147.56,689.52,-8058.00,23.00,-58.00,11.00
-146.63,689.86,-8058.00,18.00,-31.00,22.00
-146.63,689.86,-8058.00, 5.00,-44.00,-37.00
-146.63,691.22,-8057.16, 8.00,-22.00,13.00
-146.63,692.44,-8058.00,24.00,-2.00,14.00
-147.36,692.44,-8058.00,13.00,-44.00,-8.00
-147.36,692.71,-8058.98, 0.00,-44.00,11.00
-147.36,692.73,-8060.51,16.00,-37.00,28.00
-147.36,693.12,-8058.98,27.00,-64.00,19.00
-147.36,693.20,-8057.30,21.00,-47.00,-25.00
-147.48,693.86,-8058.98,-6.00,-39.00, 9.00
-147.48,694.67,-8058.98, 8.00,-41.00,-41.00
-148.21,694.96,-8058.98,13.00,-22.00, 9.00
-148.21,694.96,-8057.30, 3.00,-23.00,-2.00
-148.21,694.67,-8054.78,26.00,-39.00,29.00
-147.48,693.20,-8052.20,16.00,-35.00, 0.00
-147.48,693.12,-8052.20,19.00,-60.00, 9.00
-147.56,690.98,-8052.20,29.00,-58.00,-26.00
-147.56,690.98,-8052.20,14.00,-54.00,28.00
-146.53,690.98,-8052.20,14.00,-28.00,-15.00
-147.56,690.98,-8052.65,19.00,-21.00, 6.00
-147.56,690.98,-8052.65, 0.00,-41.00,10.00
-147.60,691.41,-8053.02,16.00,-34.00,25.00
-148.66,692.03,-8054.15,16.00,-14.00, 0.00
-148.66,692.45,-8055.01,25.00,-30.00, 8.00
-148.66,692.45,-8055.01,514.00,326.00,-1117.00
-147.60,692.45,-8054.15,1468.00,270.00,-896.00
-146.43,692.45,-8053.02,234.00,-79.00,-325.00
-144.68,692.03,-8047.01,35.00,-40.00,781.00
