aX,aY,aZ,gX,gY,gZ
 1.00, 1.00, 1.00,150.00,80.00,81.00
 1.00, 1.00, 1.00,151.00,104.00,49.00
 1.00, 1.00, 1.00,118.00,15.00,172.00
 1.00, 1.00, 1.00,147.00,28.00,218.00
1450.00,-2834.40,1390.40,176.00,149.00,246.00
2217.60,-4404.64,2133.04,248.00,210.00,418.00
2599.36,-5243.98,2590.62,296.00,229.00,546.00
3005.22,-5831.19,2867.97,428.00,372.00,642.00
3387.13,-6132.91,3084.38,284.00,271.00,353.00
3387.13,-6192.55,3255.43,244.00,328.00,347.00
3387.13,-6237.93,3503.66,258.00,329.00,396.00
3387.13,-6269.11,3565.00,364.00,345.00,642.00
3387.13,-6269.11,3782.20,162.00,182.00,566.00
3271.19,-6237.93,4207.72,148.00,-54.00,638.00
2957.92,-6192.55,4684.23,243.00,-302.00,1017.00
2619.15,-6132.91,5172.14,67.00,19.00,847.00
2121.49,-6117.89,5712.48,-85.00,-212.00,908.00
1576.89,-6064.74,6462.69,-298.00,-433.00,933.00
1032.14,-6029.64,7446.41,-753.00,-510.00,935.00
932.48,-5722.99,7618.94,-1221.00,-212.00,529.00
348.39,-5309.79,7618.94,-1473.00,-925.00,406.00
348.39,-5309.79,7618.94,-1050.00,-883.00,625.00
348.39,-5309.79,7773.23,-247.00,-107.00,658.00
348.39,-5309.79,7773.23,611.00,-156.00,1032.00
209.09,-5309.79,7618.94,1296.00,-176.00,1856.00
95.98,-6490.29,7548.74,647.00,-300.00,1163.00
144.09,-6490.29,7021.38,-17.00,-171.00,698.00
144.09,-6490.29,6672.96,-389.00,-749.00,302.00
144.09,-6490.29,6609.64,-676.00,-916.00,-207.00
-190.35,-6490.29,5394.18,-1035.00,-839.00,95.00
-212.52,-4972.97,4612.11,-1574.00,-799.00,798.00
-212.52,-4644.58,3812.47,-1960.00,-1347.00,532.00
-212.52,-4644.58,3287.08,-1840.00,-1660.00,-615.00
-190.35,-4644.58,2645.45,-1026.00,-514.00,-868.00
144.09,-4644.58,1080.47,-458.00,798.00,-724.00
392.97,-4644.58,-1452.12,-327.00,358.00,-92.00
